Geneid	SRR085471	SRR085473	SRR085474	SRR087416	SRR085725	SRR085726
ALDH4A1	934	474	793	229	453	365
MIR4695	0	0	0	0	0	0
MIR1290	0	0	0	0	0	1
LOC124903866	1	0	1	0	0	0
IFFO2	325	206	310	270	567	348
LOC105376815	1	0	0	0	1	1
UBR4	1882	552	2073	1317	2084	1705
EMC1-AS1	7	1	3	10	10	15
EMC1	682	74	826	255	682	321
MRTO4	331	106	338	203	192	222
AKR7L	7	13	9	18	13	14
AKR7A3	19	7	10	6	4	13
LOC124903867	20	7	9	10	14	9
LOC100506730	79	41	92	43	91	66
AKR7A2	283	93	294	130	221	163
SLC66A1	168	131	189	180	186	183
CAPZB	1757	373	1725	1093	1241	1272
LOC124903868	1	0	0	0	1	0
LOC124903869	0	1	1	4	0	1
LOC105376819	2	1	3	1	1	3
LOC105376818	0	0	0	0	0	0
LOC105376817	0	0	0	0	0	0
LOC124904816	0	0	0	0	0	0
MICOS10-DT	3	0	2	2	0	0
MICOS10-NBL1	0	0	0	0	0	0
MICOS10	421	156	466	471	324	392
RPS14P3	50	47	52	71	44	82
NBL1	3	1	2	3	5	4
HTR6	76	20	110	30	17	32
TMCO4	53	10	43	21	24	15
RNF186	0	0	0	0	0	0
RNF186-AS1	0	0	0	0	0	0
LOC105376823	0	0	0	0	0	0
OTUD3	256	58	284	212	336	191
PLA2G2E	0	0	0	0	1	0
PLA2G2A	0	1	0	0	1	0
PLA2G5	76	14	46	8	22	14
PLA2G2D	2	0	0	1	0	0
PLA2G2F	0	1	0	0	0	0
LOC117779438	2	1	1	1	1	0
PLA2G2C	5	1	11	9	6	7
UBXN10	111	9	116	77	121	69
LOC105376825	16	34	13	26	15	30
LOC105376826	0	0	0	0	0	0
LINC01757	0	0	0	0	0	0
LOC105376828	0	0	0	0	0	0
VWA5B1	10	2	15	4	11	1
LOC124903870	0	0	0	0	0	0
LINC01141	37	2	15	16	5	19
LOC124903871	0	0	0	0	2	1
CAMK2N1	8883	1775	8299	6221	3829	6002
MUL1	375	92	371	196	240	243
FAM43B	132	102	177	246	199	287
CDA	8	38	10	23	18	21
PINK1	1374	425	1536	523	884	675
MIR6084	0	0	0	0	0	0
PINK1-AS	32	10	39	18	37	15
DDOST	777	94	873	310	552	415
KIF17	375	100	367	345	171	407
SH2D5	690	102	764	366	356	419
HP1BP3	1217	307	1324	1072	1186	1326
EIF4G3	1220	174	1507	724	1156	832
LOC105376830	0	0	1	1	0	0
LOC105376829	0	0	2	0	1	0
MIR1256	1	1	0	0	0	0
ECE1	610	696	567	609	529	849
LOC124903872	1	2	3	6	1	1
ECE1-AS1	2	4	2	5	0	3
LOC105376832	0	0	0	0	0	0
NBPF3	33	5	47	7	37	17
ALPL	343	197	255	132	254	141
LINC02596	1	0	0	0	0	0
RAP1GAP	3264	1037	3553	2136	2635	2773
USP48	551	203	549	484	621	552
LDLRAD2	2	1	1	0	0	2
HSPG2	131	48	138	42	225	68
CELA3B	0	0	12	2	0	0
CELA3A	0	0	23	1	0	0
LINC01635	3	0	0	3	1	0
LINC00339	64	18	55	66	65	78
CDC42	803	187	689	578	565	475
WNT4	27	6	24	17	18	22
LOC105376845	0	1	1	2	0	0
LOC105376850	1	0	1	0	1	1
LOC107985377	0	0	0	0	0	0
MIR4418	0	0	0	0	0	0
LOC105376856	0	0	0	0	0	0
ZBTB40	286	93	394	326	351	374
EPHA8	34	10	22	15	20	33
MIR6127	0	0	0	0	0	0
C1QA	234	122	250	848	274	1065
C1QC	314	73	396	887	429	1170
C1QB	403	130	352	1268	513	1535
EPHB2	214	46	296	148	147	167
MIR4684	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0
LOC124903874	1	0	0	2	0	1
LACTBL1	0	0	0	0	0	0
TEX46	0	1	2	2	0	0
KDM1A	592	124	633	385	572	428
MIR3115	0	0	0	0	0	0
LUZP1	766	258	1071	710	808	665
HTR1D	23	8	26	14	14	27
LINC01355	0	0	0	0	0	0
HNRNPR	0	0	0	0	0	0
ZNF436	0	0	0	0	0	0
ZNF436-AS1	0	0	0	0	0	0
TCEA3	0	0	0	0	0	0
LOC124903875	0	0	0	0	0	0
ASAP3	0	0	0	0	0	0
E2F2	0	0	0	0	0	0
LOC101928163	0	0	0	0	0	0
LOC124903876	0	0	0	0	0	0
LOC105376859	0	0	0	0	0	0
ID3	0	0	0	0	0	0
LOC107984928	0	0	0	0	0	0
MDS2	2	0	1	0	0	0
RPL11	1773	1045	1527	2012	1693	2218
ELOA	264	82	271	217	262	211
ELOA-AS1	7	3	7	3	5	2
PITHD1	1699	292	1565	1465	1206	1445
LOC105376860	7	1	4	2	1	3
LYPLA2	136	73	146	154	123	171
GALE	181	47	179	92	122	126
HMGCL	177	104	183	106	128	127
LOC105376861	0	0	0	1	0	0
FUCA1	154	19	126	46	88	51
CNR2	0	0	0	0	0	0
MIR378F	0	0	0	0	0	0
LOC124903877	0	0	0	0	0	0
PNRC2	184	51	162	178	158	184
SRSF10	336	77	281	360	416	323
LOC105378615	0	0	0	0	0	0
LOC105376863	0	0	0	0	0	0
LOC107984931	0	0	0	0	0	0
MYOM3	1	1	2	0	4	0
MYOM3-AS1	0	0	0	0	0	0
LOC124903878	0	0	0	0	0	0
LOC105376864	0	0	0	0	0	0
IL22RA1	1	0	0	1	4	0
LOC124903879	0	1	1	1	6	1
IFNLR1	11	1	10	7	56	11
LINC02800	0	1	0	1	7	1
GRHL3-AS1	1	1	2	0	1	0
GRHL3	2	1	2	1	18	1
STPG1	216	69	315	172	255	272
NIPAL3	1900	486	2359	981	2519	1351
RCAN3AS	0	0	0	0	2	0
RCAN3	73	18	98	39	579	56
NCMAP-DT	0	0	0	0	0	0
NCMAP	11	2	21	4	4	6
SRRM1	357	82	368	270	645	336
LOC124904829	0	0	0	0	0	0
CLIC4	858	89	644	370	1004	444
LOC105376876	0	1	0	0	0	0
RUNX3	9	17	4	25	10	19
MIR6731	0	0	0	0	0	0
RUNX3-AS1	0	0	0	0	1	0
MIR4425	0	0	0	0	0	0
LINC02793	0	0	1	0	0	0
LOC124903880	0	0	0	1	0	0
SYF2	189	118	192	222	243	252
LOC124903881	7	4	5	2	7	9
RSRP1	649	192	582	709	566	690
LOC105376882	0	0	1	2	3	2
RHD	4	11	5	3	4	2
TMEM50A	721	157	769	554	536	553
LOC124904823	1	0	0	0	0	0
RHCE	8	1	12	1	12	2
MACO1	314	88	321	337	393	337
LDLRAP1	360	220	473	506	705	753
MAN1C1	460	56	539	379	486	436
SELENON	976	480	957	492	841	624
MTFR1L	596	317	673	588	548	648
LOC646471	101	21	126	60	115	38
AUNIP	31	0	12	14	13	16
PAQR7	191	127	212	159	154	133
STMN1	6545	877	5664	5980	4011	5663
MIR3917	1	0	0	0	0	0
LOC105376885	0	0	1	1	0	1
PAFAH2	84	20	86	46	66	45
LOC124900433	0	0	0	0	1	0
EXTL1	868	168	912	464	361	599
SLC30A2	0	1	4	4	1	0
LOC105376910	0	0	0	0	0	0
TRIM63	1	3	2	1	1	3
PDIK1L	107	15	128	103	140	71
FAM110D	20	64	20	15	16	20
C1orf232	0	1	1	0	0	1
ZNF593OS	6	1	4	3	2	2
ZNF593	43	35	41	83	29	66
CNKSR1	36	39	40	68	42	103
CATSPER4	0	0	0	1	1	0
LOC124903882	2	0	0	1	2	0
ZPLD2P	10	6	8	5	9	1
CEP85	254	39	292	159	196	203
SH3BGRL3	1063	834	951	1348	644	1449
UBXN11	267	137	332	242	216	269
CD52	26	6	24	15	3	18
CRYBG2	0	1	1	0	1	0
ZNF683	1	0	0	0	0	1
LIN28A	1	0	0	0	0	0
LOC124903883	0	2	1	1	0	0
DHDDS	389	92	397	207	439	229
DHDDS-AS1	2	1	4	5	4	4
HMGN2	97	17	104	40	94	61
LOC124903884	0	0	0	0	0	0
RPS6KA1	0	0	0	0	0	0
MIR1976	0	0	0	0	0	0
LOC124904769	0	0	0	0	0	0
LOC124904813	0	0	0	0	0	0
LOC105376888	0	0	0	0	0	0
LOC124900417	2	1	1	1	2	0
LOC101928728	0	0	0	0	0	0
ARID1A	924	175	1038	556	1067	722
PIGV	134	56	138	90	107	115
ZDHHC18	351	156	299	377	300	480
SFN	2	7	2	10	35	14
GPN2	342	65	355	311	332	263
GPATCH3	131	89	153	103	124	126
NUDC	795	488	911	1052	777	1238
NR0B2	0	0	0	0	1	0
KDF1	2	5	8	12	18	7
OSTCP2	0	0	0	0	1	0
TRNP1	306	56	302	435	294	378
