Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
QDPR,5963.0880198829145,1.6250142066264373,0.3255438411331502,4.991690830243023,5.985300748008562e-07,4.961280976468087e-05
LOC105373002,23.61589837575566,3.3807840820368886,0.6778002441256518,4.987876754748045,6.104649027473459e-07,5.0352829219712116e-05
ARK2C,251.44114190093038,-1.1833516390793253,0.23740134378339306,-4.984603794656803,6.208890880876192e-07,5.0961602406564196e-05
KLF15,338.8119371709042,1.3174069659428427,0.26437850547405584,4.98303356235639,6.259508818283502e-07,5.112644666016534e-05
TRNM,921.7316402364527,2.666941049098537,0.5355447165328314,4.979866231086309,6.362823767150083e-07,5.122073132555817e-05
SMG9,479.1125612554126,1.0544145465681114,0.21170099561332345,4.980678260455718,6.336180662999715e-07,5.122073132555817e-05
C1QTNF6,64.53608150140487,1.7265052240901426,0.34663176736021173,4.98080495402488,6.332033490047245e-07,5.122073132555817e-05
APOL1,110.07845570576201,1.5090095738560958,0.3031026667319401,4.97854271665199,6.406480524914411e-07,5.132541143979277e-05
SIGLEC1,68.15824276087456,3.401947628101124,0.6841296845689053,4.972664839481148,6.603877675134692e-07,5.249427985666339e-05
ARAP1,781.2341592803779,1.183131109818172,0.2379426964331215,4.972336312708444,6.615081850069264e-07,5.249427985666339e-05
LOC124901151,34.701106796744064,2.7716936622098625,0.5576835270553542,4.970011714071575,6.69488567992473e-07,5.287696501163192e-05
NRIP3,477.49854472883516,-1.2203292739850662,0.2456744752513678,-4.967261139914745,6.790511939851486e-07,5.313099622470715e-05
PCDHGA12,37.243235671657736,-2.262494668838452,0.4553985361695849,-4.968164122503736,6.758974711432166e-07,5.313099622470715e-05
NGB,223.75689585986956,1.3692532361073142,0.2758598170944424,4.963583498783157,6.920426859789422e-07,5.38956406234019e-05
TRIR,1167.0349192128294,1.1083705917221451,0.22375866228395774,4.9534198158352565,7.292041478465289e-07,5.652682523862167e-05
RNF150,223.14865205008144,-1.3668327441034265,0.2760290972955777,-4.951770510772615,7.354130026750615e-07,5.674541620641119e-05
