"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034340","response to type I interferon","19/1473","92/18805",0.206521739130435,2.63655214144455,4.58726897835785,7.81839410377712e-05,0.0102766426684996,0.0090624470211468,"IFIH1/IFIT1/IFITM1/IFITM2/IFITM3/IKBKE/IRF3/ISG15/MX1/NLRC5/OAS1/OAS2/OAS3/OASL/SHFL/SP100/TBKBP1/TRIM41/TRIM56",19
"GO:0021675","nerve development","20/1473","100/18805",0.2,2.55329260013578,4.54021659249547,8.23555986285979e-05,0.0105789509874735,0.00932903730876581,"AFG3L2/ARK2C/BDNF/CHRNB2/CITED2/ECE1/EGR2/EPHA4/EPHB1/KCNA1/KCNA2/LPAR1/LRIG1/SCN2A/SCN8A/SEMA3F/SERPINE2/SLC1A3/SLC38A8/TCIRG1",20
"GO:0009266","response to temperature stimulus","29/1473","175/18805",0.165714285714286,2.11558529725536,4.32232613923464,9.41052797551786e-05,0.0118104288606841,0.0104150148350541,"ACADVL/ASIC3/CRNN/CRYAB/CXCL12/CXCR4/DNAJB1/DNAJB6/DNAJC2/EPHB1/GMPR/GSK3B/HMOX1/HSP90AA1/HSPB1/MMP24/NFKBIA/NOS3/NR2F6/PCSK1N/PLAC8/PRKAA1/SCARA5/SLC52A3/STAC/THBS1/TRPV1/UCP3/VGF",29
"GO:0060079","excitatory postsynaptic potential","21/1473","109/18805",0.192660550458716,2.45959378912162,4.45526006970768,9.74508383619115e-05,0.0118104288606841,0.0104150148350541,"CHRNA10/CHRNA2/CHRNA3/CHRNB2/DMPK/GLRA2/GRID2/GRIN2A/GSK3B/HTR3B/NLGN3/NLGN4X/NPAS4/NPFF/NRXN1/P2RX7/RELN/RIMS1/SEZ6/TRPV1/ZMYND8",21
"GO:0010720","positive regulation of cell development","58/1473","447/18805",0.129753914988814,1.65649855489793,4.09521783326708,9.8211280334776e-05,0.0118104288606841,0.0104150148350541,"ADA/BDNF/BMPR2/CAPRIN1/CDH4/CDKL5/CLDN5/CSF1/CX3CR1/CXCL12/CXCR4/EGR2/EGR3/EPHA4/FBXW8/FN1/GPER1/GRM5/HAP1/HIF1A/HLX/IL15RA/IL2RG/IL33/IL4I1/IL4R/ITPKB/KIT/KITLG/KLF10/KRAS/LGALS9/LRP8/NKX6-2/NOTCH2/NTRK2/PCK1/PDE3A/PLXNC1/PPARGC1B/PRKDC/PRMT5/PTPRZ1/RASGRP1/RELA/RELN/ROBO2/RUNX3/SEMA5A/SERPINE2/SMARCC1/SOX12/SOX8/SPI1/TIAM1/TLR9/TRIB1/TSPO",58
"GO:0050792","regulation of viral process","25/1473","142/18805",0.176056338028169,2.24761672547164,4.35047609771063,0.000104024870874521,0.0120422003853904,0.0106194023214556,"BST2/CXCR4/HEXIM1/IFI16/IFIH1/IFIT1/IFITM1/IFITM2/IFITM3/IL32/ISG15/ISG20/LARP7/LGALS1/LGALS9/MID2/MX1/OAS1/OAS2/OAS3/OASL/RSAD2/SHFL/SP100/TRIM21",25
"GO:0050905","neuromuscular process","29/1473","176/18805",0.164772727272727,2.10356492624823,4.28806743197795,0.000104399826412621,0.0120422003853904,0.0106194023214556,"ATP8A2/CNTNAP2/DMPK/GM2A/GPR88/GRID2/GRIN2A/HIPK2/HOMER1/HSP90AA1/ITPR1/KCNA1/MYH3/MYO7A/NKX6-2/NRXN1/PENK/PRKN/SLC1A3/STAC/STAC3/TCAP/TCF15/TMEM150C/TNNC2/TNR/TUBA1A/UCN/USH1C",29
"GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","14/1473","58/18805",0.241379310344828,3.08156003464663,4.62848864431888,0.00011748825676047,0.0132808725442036,0.0117117241212806,"COL4A5/EPHA2/EPHA3/EPHA4/EPHA5/EPHA6/EPHB1/EPHB3/ERBB4/FGFR4/KIT/NTRK2/PDGFRA/UBASH3B",14
"GO:0007613","memory","23/1473","129/18805",0.178294573643411,2.27619107764042,4.2400480769697,0.000159189974845357,0.0176419948593326,0.0155575754570231,"ABCA7/ADCY1/BRINP1/CALB1/CAMK4/CHRNB2/CX3CR1/GRIN2A/ITGA5/ITPR3/KAT2A/NPAS4/PJA2/PLCB1/RASGRF1/RELN/SCN2A/SLC6A1/SORCS3/SYT11/TAFA2/TUBA1A/VPS13B",23
"GO:0021554","optic nerve development","8/1473","22/18805",0.363636363636364,4.64235018206505,4.98325043076273,0.000164006566667683,0.0178262522078028,0.0157200626148073,"CHRNB2/EPHB1/KCNA1/KCNA2/LPAR1/SCN8A/SLC38A8/TCIRG1",8
